epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,756.689,0.92444,0.66461,1.21504,0.91824,0.94919,0.98195,0.76144,0.8191,0.55183,1.19219,0.00058175,0.00058175,0.00058175
56,773.341,0.97775,0.69667,1.22606,0.94471,0.97778,0.97312,0.70644,1.00484,0.60128,1.35365,0.000569375,0.000569375,0.000569375
57,790.205,0.92966,0.68839,1.2312,0.92998,0.95214,0.97911,0.75164,0.80449,0.55916,1.15088,0.000557,0.000557,0.000557
58,807.863,0.92712,0.68732,1.21367,0.95809,0.92991,0.95708,0.7494,0.85894,0.6538,1.15958,0.000544625,0.000544625,0.000544625
59,824.034,0.94688,0.69841,1.23011,0.90208,0.92353,0.97313,0.75168,0.83425,0.58894,1.13888,0.00053225,0.00053225,0.00053225
60,841.053,0.92097,0.67116,1.20181,0.95528,0.97778,0.99265,0.75883,0.82822,0.49417,1.17018,0.000519875,0.000519875,0.000519875
61,857.124,0.89612,0.64772,1.21314,0.95574,1,0.99143,0.77443,0.79484,0.48689,1.17021,0.0005075,0.0005075,0.0005075
62,874.21,0.89759,0.65669,1.17516,0.9896,1,0.995,0.77593,0.80386,0.46986,1.14771,0.000495125,0.000495125,0.000495125
63,889.454,0.8766,0.6486,1.17468,0.97613,0.96883,0.99079,0.77608,0.79808,0.52054,1.17569,0.00048275,0.00048275,0.00048275
64,904.926,0.87602,0.627,1.18183,0.91672,0.97197,0.9881,0.73049,0.81414,0.55121,1.15591,0.000470375,0.000470375,0.000470375
65,919.77,0.88794,0.60986,1.19333,0.9649,0.97586,0.987,0.75377,0.85305,0.51851,1.24485,0.000458,0.000458,0.000458
66,933.948,0.86964,0.63897,1.18048,0.99119,0.98718,0.99243,0.73903,0.87649,0.53754,1.23235,0.000445625,0.000445625,0.000445625
67,948.472,0.85027,0.59451,1.18848,0.96843,0.98718,0.99397,0.77948,0.78017,0.45596,1.15298,0.00043325,0.00043325,0.00043325
68,963.09,0.84229,0.58553,1.15849,0.98943,0.99738,0.995,0.77907,0.75984,0.44265,1.08925,0.000420875,0.000420875,0.000420875
69,977.435,0.83494,0.59449,1.16482,0.95609,1,0.99229,0.75942,0.84238,0.47041,1.17602,0.0004085,0.0004085,0.0004085
70,992.358,0.81383,0.58866,1.15511,0.97305,1,0.995,0.78636,0.81395,0.4916,1.19437,0.000396125,0.000396125,0.000396125
71,1007.75,0.84525,0.60726,1.17361,0.97566,1,0.995,0.81381,0.7563,0.48161,1.08833,0.00038375,0.00038375,0.00038375
72,1022.23,0.84334,0.58713,1.15161,0.93557,0.97778,0.98722,0.76318,0.76538,0.51176,1.06778,0.000371375,0.000371375,0.000371375
73,1036.53,0.80069,0.58339,1.15355,0.96681,0.97414,0.99265,0.78818,0.76987,0.4818,1.10067,0.000359,0.000359,0.000359
74,1050.62,0.84531,0.59282,1.14949,0.96052,1,0.99229,0.78066,0.77283,0.46442,1.11342,0.000346625,0.000346625,0.000346625
75,1064.72,0.82013,0.57234,1.14337,0.9723,1,0.995,0.80913,0.73591,0.44294,1.08098,0.00033425,0.00033425,0.00033425
76,1079.05,0.78435,0.54852,1.1304,0.96346,0.97778,0.99375,0.79853,0.71405,0.4374,1.07931,0.000321875,0.000321875,0.000321875
77,1092.51,0.81095,0.5917,1.15971,0.9946,0.99316,0.995,0.77815,0.76652,0.43704,1.15623,0.0003095,0.0003095,0.0003095
78,1106,0.77415,0.53554,1.10761,0.98408,1,0.995,0.79896,0.74122,0.39917,1.12084,0.000297125,0.000297125,0.000297125
79,1119.56,0.78242,0.57431,1.13202,0.98986,1,0.995,0.81832,0.70538,0.38293,1.08199,0.00028475,0.00028475,0.00028475
80,1132.53,0.77206,0.52112,1.11991,0.99149,0.98847,0.995,0.81226,0.67893,0.41874,1.05766,0.000272375,0.000272375,0.000272375
81,1145,0.78141,0.55403,1.11288,0.97283,0.973,0.99167,0.82177,0.70199,0.43489,1.07567,0.00026,0.00026,0.00026
82,1157.65,0.80286,0.55595,1.13985,0.98854,0.97778,0.99375,0.80629,0.70723,0.43448,1.0668,0.000247625,0.000247625,0.000247625
83,1170.02,0.72935,0.51729,1.09446,0.98543,0.97778,0.99079,0.80401,0.69081,0.43916,1.06823,0.00023525,0.00023525,0.00023525
84,1182.33,0.76381,0.51734,1.13126,0.96892,0.98503,0.99375,0.81455,0.69867,0.41898,1.07588,0.000222875,0.000222875,0.000222875
85,1194.92,0.78517,0.53913,1.12787,0.9909,0.99253,0.995,0.8132,0.65381,0.40734,1.05627,0.0002105,0.0002105,0.0002105
86,1207.43,0.74066,0.50113,1.10238,0.97005,1,0.99375,0.81964,0.67561,0.38991,1.06651,0.000198125,0.000198125,0.000198125
87,1219.87,0.73568,0.51035,1.0877,0.98875,1,0.995,0.82542,0.68497,0.37784,1.06984,0.00018575,0.00018575,0.00018575
88,1232.26,0.71984,0.49482,1.09019,0.98896,0.97778,0.99375,0.82548,0.69554,0.3969,1.0527,0.000173375,0.000173375,0.000173375
89,1244.84,0.72677,0.49884,1.0952,0.97151,0.98721,0.99083,0.81415,0.66467,0.40682,1.01461,0.000161,0.000161,0.000161
90,1257.91,0.73337,0.51355,1.09036,0.99011,0.99681,0.995,0.81378,0.66573,0.40323,1.03558,0.000148625,0.000148625,0.000148625
91,1272.21,0.66815,0.45125,1.10585,0.99308,0.9846,0.995,0.81193,0.69424,0.42072,1.06984,0.00013625,0.00013625,0.00013625
92,1284.73,0.61733,0.39985,1.03596,0.99016,1,0.995,0.8159,0.69778,0.40654,1.08032,0.000123875,0.000123875,0.000123875
93,1298.4,0.62293,0.39129,1.0381,0.98946,1,0.995,0.82392,0.64732,0.39637,1.03681,0.0001115,0.0001115,0.0001115
94,1310.56,0.60617,0.38511,1.05007,0.99534,0.99813,0.995,0.8201,0.67879,0.38194,1.06067,9.9125e-05,9.9125e-05,9.9125e-05
95,1322.81,0.62058,0.37728,1.04708,0.99282,0.9859,0.995,0.83091,0.65465,0.39266,1.04069,8.675e-05,8.675e-05,8.675e-05
96,1335.16,0.5969,0.37736,1.0371,0.98482,0.97778,0.99375,0.82336,0.64178,0.40746,1.02942,7.4375e-05,7.4375e-05,7.4375e-05
97,1347.29,0.56203,0.3591,1.00847,0.9924,0.99838,0.995,0.824,0.67942,0.3888,1.04781,6.2e-05,6.2e-05,6.2e-05
98,1359.42,0.56055,0.36122,1.00732,0.99217,1,0.995,0.82591,0.66134,0.39449,1.03581,4.9625e-05,4.9625e-05,4.9625e-05
99,1371.45,0.56356,0.36156,1.02444,0.99189,0.99931,0.995,0.84047,0.6454,0.37711,1.0315,3.725e-05,3.725e-05,3.725e-05
100,1383.34,0.57386,0.35923,1.03627,0.99132,1,0.995,0.84555,0.64023,0.37235,1.03,2.4875e-05,2.4875e-05,2.4875e-05
